keywords,story
"museum, sticking, together, staying, smart","Sticking Together by StayingTogetherMy family is going to a museum. A museum is a big place. Sticking together in a big place is smart and safe. Most of the time, sticking together means staying close to one another. My family is going to a museum. We will try to stick together to be smart and safe."
"pipe, treatment, waste, plant, toilet","Toilets, Pipes, and Waste Treatment Plants  These are pictures of toilets. Toilets are fixtures that are attached to a pipe. Pee and poop move through the pipe to a factory called a waste treatment plant. In my house, toilets connect to pipes that lead to the waste treatment plant."
"yes, adult, decision, permission, fun","Many Adults Like to Say Yes Children have many ideas. They have ideas about things they would like to do. A childs idea may be an adults decision to make. When this happens, children need to ask for permission. Children may be surprised to learn that most adults like to say yes whenever they can. For many adults, giving permission and saying yes is fun. It is definitely more fun than saying no. Long ago, when adults were children, they had to ask for permis sion. They remember how fun it was when adults said yes to them. They want to be fun like that, now. Still, adults may decide to say no. It is their decision to make. They may wish they could say yes. But, they are adults. They have learned a lot. It is an adults job to think and make the best decision that they can. This is why they may say no. Children have many ideas. Some of them need permission. For many adults, saying yes is fun. As adults, though, it is their job to think and make the best decision. Once in a while, the best decision is not yes it is no."
"team, bullying, bully, member, student","My TeamI know some adults who are concerned about bullying. They areon My Team. My Team will work with me to make sure my schooland neighborhood are safe and comfortable. I am an importantmember of the team. We work together. My Team will help mefinish this chapter. Below is a picture of me with My Team. Themembers of My Team will print their names below their picture. They may sign their names, too. Sometimes, a student may try to bully me when My Team is not around. Some times, a student may try to bully me when a member of My Team is near, but does not see the bullying. I can learn how to respond to a student who bullies. I can learn what to think, say, and do. When a student tries to bully someone, it is called a bullying attempt. Reading Stories number and completing all activities will help us to fill in the blanks on the following page aboutwhat to think, say, and do in response to a bullying attempt. My Team is doing many things to make my school a comfortable and safe place for all students. They have been busy studying and learning new ways to respond to bullying. Evenadults have to learn new skills. Later in this chapter, My Team will write a list of what they havelearned. They will also write a list of what they are doing to keep our school and neighborhoodsafe and comfortable for all students. n _______________________________ _______________________________ _______________________________ ___________________________ ___________________________ ___________________________ ____________________________ ____________________________ ____________________________  ."
"absent, today, schoolwork, okay, assignment","Absent Today? This Is Okay. I am absent from school today. My parents say it is okay. There are many reasons why a child may be absent. A child may be absent from school if  He is sick and needs to be home. He needs to go to the doctor or the dentist. His family is on a trip. There are other reasons a child may be absent, too. When a child is absent, it is okay. The teacher will help him get his assignments, so that he can finish his schoolwork. Today, I am absent because ___________________________________________________. This is okay. My teacher will tell me about my assignments. That way, I will be able to finish my schoolwork. Tomorrow I may be back in school, or I may be absent again. Mom and Dad can answer my questions about when I will be going back to school."
"appointment, school, return, day, assignment","An Appointment on a School DaySometimes students have an appointment. Anappointment may be during the school day. Once ina while I may have to leave school for an appointment. When I leave school for an appointment, the schoolremains open. The teachers and students stay for therest of the school day. It is okay if a student misses an assignment or activitybecause of an appointment. Teachers and parentscan help. I may complete assignments or work that ismissed at another time. I may go to an appointment and return to school thesame day. Or, I may return to school on another day. Either way is okay. My parents and teacher know myschedule when there is an appointment and when I will return to school. Leaving school foran appointment is okay."
"bullying, fact, calmly, peaceful, picture","What to Think in Responseto a Bullying AttemptThere are three steps to responding to a bullying attempt. STEP  Calmly think about my bullying facts, and calmly think about apeaceful picture. Calmly Think about Bullying FactsFacts are true. Thinking about the bullying facts may help a student stay calm. If I am bullied, thinking about the bullying facts may help me use good selfcontrol. There are manybullying facts. Here are three of them It is not my fault that I am the target of this bullying attempt. The student who is attempting to bully me is out of control. I am not the only student who is bullied. I have a choice. I may choose one, two, or all three facts to memorize and write it in thethought symbol on the next page. Calmly Think about a Peaceful Picture If I am bullied, thinking of a peaceful picture may help me stay calm and in good selfcontrol. I may choose or draw a peaceful picture to put in my thought symbol. ________________________________ ________________________________ ________________________________ A member of My Team will help me practice STEP  to responding to bullying attempt. STEP  is Calmly think about my bullying facts, and calmly think about a peaceful picture."
"yes, permission, adult, okay, jake","Three Ways to Say YesChildren have many ideas. They have ideas about things they would like to do. A childs ideamay be an adults decision to make. When this happens, children need to ask for permission. An adult may say yes, without saying yes. This may be a little confusing for children. Sometimes, an adult will say, Sure Sure is a definite yes. The adult is very sure that itsokay to give permission. The adult feels confident giving permission. It may also meanthat permission in this case was not needed. Here is an example Jake Dad, may I do my homework now? Dad Sure Other times, an adult will say, Okay. Okay means yes. Okay may mean, Yes this time, but not every time. The adult feels comfortable giving permission. Here is an example Jake Dad, may Andrew and I do our homework together? Dad Okay. Another way that adults often say yes is, Okay, I guess, or, backwards, I guess it is okay. This means, Yes, but there is a good reason to say no. The adult feels a little uncomfortable giving permission. This is why children often act fast when an adult says, Okay, I guess. Jake May I watch one television show before starting my homework? Dad, Okay, I guess. When children have ideas and ask for permission, adults may say yes. How they say yes can be a little confusing. Learning what adults mean when they say, Sure, Okay, or Okay, I guess, can help. It is a clue to what adults may be thinking and feeling, too."
"pee, poop, toilet, throw, flush","Toilets Flush to Throw Away Peeand Poop People learn to use toilets to catch and hold their pee and poop. They do not need the pee and poop anymore, so they flush it away  Flushing is how a toilet throws away pee and poop that is no longer needed. Then the toilet is clear again. Flushing a toilet throws pee and or poop away."
"close, store, photo, mom, staying","Staying Close to Mom We are going to the store. It is important to stay close to my mom. This is a photo of me. This is a photo of my mom. This is a photo of me staying close to my mom. This is called sticking together at the store. I will try to stay close to my mom at the store. This is very, very, very important."
